Cue_Anexo,Nivel,Modalidad_Educ_Gral,Cue,Estado,Sector,Departamento,NINA,Cant_Secciones,Tipo_titulo,Primero,Segundo,Tercero,Cuarto,Quinto,Sexto,Septimo,Mat_ciclo_basico,Mat_ciclo_orientado,Matricula_Total,Titulo
600003600,Secundaria,Común,6000036,Activo,ESTATAL,,no,18,Ciclo básico/ educación secundaria básica,67,79,73,65,54,61,0,219,180,399,Bachiller en ciencias sociales y humanidades; Bachiller en economía y administración
600035000,Secundaria,Común,6000350,Activo,ESTATAL,,no,6,Ciclo básico/ educación secundaria básica,16,17,11,9,7,7,0,44,23,67,Bachiller en economía y administración
600046400,Secundaria,Común,6000464,Activo,ESTATAL,FEDERACION,no,13,Ciclo básico/ educación secundaria básica,65,60,32,39,43,,0,157,99,256,Bachiller con orientación en arte; Bachiller en economía y administración
600067800,Secundaria,Común,6000678,Activo,ESTATAL,,no,17,Ciclo básico/ educación secundaria básica,35,45,47,41,37,40,0,127,118,245,Bachiller en ciencias naturales; Bachiller en economía y administración
600093400,Secundaria,Común,6000934,Activo,ESTATAL,VILLAGUAY,no,37,Ciclo básico/ educación secundaria básica,96,146,103,184,120,73,0,345,377,722,Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración; Bachiller orientado en ciencias naturales; Bachiller con orientación en ciencias sociales y humanidades
600110200,Secundaria,Común,6001102,Activo,ESTATAL,,no,14,Ciclo básico/ educación secundaria básica,60,73,66,59,39,43,0,199,141,340,Bachiller con orientación en ciencias naturales; Bachiller en ciencias sociales y humanidades
600135200,Secundaria,Común,6001352,Activo,ESTATAL,,no,6,Ciclo básico/ educación secundaria básica,9,9,9,20,14,22,0,27,56,83,Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración
600175800,Secundaria,Común,6001758,Activo,ESTATAL,VICTORIA,no,9,Ciclo básico/ educación secundaria básica,32,24,36,44,44,40,0,92,128,220,Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración
600190400,Secundaria,Común,6001904,Activo,ESTATAL,LA PAZ,no,6,Ciclo básico/ educación secundaria básica,15,20,24,30,24,40,0,59,94,153,Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración
600192200,Secundaria,Común,6001922,Activo,ESTATAL,LA PAZ,no,6,Ciclo básico/ educación secundaria básica,21,25,16,30,16,30,0,62,76,138,Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración
600219600,Secundaria,Común,6002196,Activo,ESTATAL,,no,18,Ciclo básico de arte,81,92,74,72,67,67,0,247,206,453,Bachiller con orientación en arte visuales con especialización en producción
600222000,Secundaria,Común,6002220,Activo,ESTATAL,LA PAZ,no,41,Ciclo básico/ educación secundaria básica,151,163,141,250,260,184,0,455,694,1149,Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración
600222800,Secundaria,Común,6002228,Activo,ESTATAL,,no,38,Ciclo básico/ educación secundaria básica,128,115,133,147,135,104,0,376,386,762,Bachiller en ciencias naturales; Bachiller en ciencias sociales y humanidades; Bachiller en educación física
600226800,Secundaria,Común,6002268,Activo,ESTATAL,DIAMANTE,no,30,Ciclo básico/ educación secundaria básica,99,134,110,93,97,84,0,343,274,617,Bachiller en ciencias naturales; Bachiller en ciencias sociales y humanidades
600230800,Secundaria,Común,6002308,Activo,ESTATAL,VICTORIA,no,10,Ciclo básico/ educación secundaria básica,39,45,46,82,66,50,0,130,198,328,Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración
600231400,Secundaria,Común,6002314,Activo,ESTATAL,,no,19,Ciclo básico/ educación secundaria básica,51,46,60,47,17,27,0,157,91,248,Bachiller en ciencias naturales; Bachiller en economía y administración; Bachiller en humanidades y ciencias sociales
600237400,Secundaria,Común,6002374,Activo,ESTATAL,NOGOYA,no,12,Ciclo básico/ educación secundaria básica,106,125,81,89,88,67,0,312,244,556,Bachiller en ciencias naturales; Bachiller en ciencias sociales y humanidades; Bachiller en turismo
600237420,Secundaria,Común,6002374,Activo,ESTATAL,NOGOYA,no,2,Ciclo básico/ educación secundaria básica,,,,4,2,,0,3,6,9,Bachiller con orientación en ciencias sociales y humanidades; Ciclo básico/ educación secundaria básica
600239800,Secundaria,Común,6002398,Activo,ESTATAL,VILLAGUAY,no,24,Ciclo básico/ educación secundaria básica,53,66,60,108,81,81,0,179,270,449,Bachiller con orientación en arte; Bachiller con orientación en ciencias sociales; Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración; Bachiller en ciencias naturales
600251800,Secundaria,Común,6002518,Activo,ESTATAL,,no,12,Ciclo básico/ educación secundaria básica,38,35,17,41,56,37,0,90,134,224,Bachiller con orientación en ciencias naturales; Bachiller con orientación en economía y administración; Bachiller con orientación en economía y administración
